product_name,translated_name,price,img_url
具だくさんおむすびイカフライ＆おかか入り金平,튀긴 오징어와 황금빛 로스트가있는 풍부하고 풍부한 쌀 공,278円（??300.24円）,https://img-afd.7api-01.dp1.sej.co.jp/item-image/046818/CCEE3C31BE4C28C2FF4AE6619687E75C.jpg
しらすおむすび　茨城?水揚げしらす使用,이바라키 현에 잡힌 시라수에 사용되는 시라수 라이스 볼,168円（??181.44円）,https://img-afd.7api-01.dp1.sej.co.jp/item-image/046846/2333B7D2BCCB1F2003C2114478BD2BA1.jpg
?産カリカリ梅おむすび,국내 바삭한 매실 쌀,158円（??170.64円）,https://img-afd.7api-01.dp1.sej.co.jp/item-image/046844/A8A82B08359D65FB9EA775DBFE01B592.jpg
一膳御飯おむすび　枝豆と紅しゃけ,라이스 볼 한 쌍 : 에다메와 레드 사시미,188円（??203.04円）,https://img-afd.7api-01.dp1.sej.co.jp/item-image/046830/D2C973C319A5557C36B8030ED243AD31.jpg
わさびめし,와사비 라이스,148円（??159.84円）,https://img-afd.7api-01.dp1.sej.co.jp/item-image/046803/A2F88431EA8691366B6C45FF44125717.jpg
イカフライタルタルソ?ス御飯,튀긴 오징어 타르타르 소스 쌀,390円（??421.20円）,https://img-afd.7api-01.dp1.sej.co.jp/item-image/046267/3C1A520F1F6EB4E7C065463549618EF9.jpg
?鍋炒めの香ばし野菜炒め?,튀긴 철분에 볶은 야채,458円（??494.64円）,https://img-afd.7api-01.dp1.sej.co.jp/item-image/046845/B5932FBB7C6B488C7BB0C55F24729BB2.jpg
チキンカツカレ?,치킨 커틀리 카레,580円（??626.40円）,https://img-afd.7api-01.dp1.sej.co.jp/item-image/046879/43494EC785605645E8793DCD3EC69474.jpg
いなり?司２個入り　岩下の新生姜使用,Iwashita의 새로운 생강으로 만든 두 개의 Inari Sushi,238円（??257.04円）,https://img-afd.7api-01.dp1.sej.co.jp/item-image/046849/0EBE8906C657F3F6BB9C9F5613AB5678.jpg
梅しそいなり,매실이 끓었다,178円（??192.24円）,https://img-afd.7api-01.dp1.sej.co.jp/item-image/046831/45E7782AF4E5850B5D8D711C650D4C33.jpg
豚?肉唐辛子マヨネ?ズ?５?,번역 실패,438円（??473.04円）,https://img-afd.7api-01.dp1.sej.co.jp/item-image/046847/E7E75EB094918B0E3351F1B23CBFB708.jpg
２種のフル?ツサンド　榛名牛乳使用,하루나 우유로 만든 두 가지 종류의 과일 샌드위치,418円（??451.44円）,https://img-afd.7api-01.dp1.sej.co.jp/item-image/052991/80FD9948DD8E04A59636AEC88AB5D332.jpg
ラップデリケバブ風チキン,맛있는 케밥 스타일 치킨을 감싸십시오,298円（??321.84円）,https://img-afd.7api-01.dp1.sej.co.jp/item-image/052992/F33C83E1CC088479418BB411AD60A487.jpg
ブリト?ウインナ?２本入りチリミ?トチ?ズ,2 개의 부리 토 위너와 칠리 고기 치즈,280円（??302.40円）,https://img-afd.7api-01.dp1.sej.co.jp/item-image/052532/A87EDE573DA10338ECE461C61B53FBFB.jpg
?たっぷり　冷しきのこそば,"많은 국수, 차가운 코코바",598円（??645.84円）,https://img-afd.7api-01.dp1.sej.co.jp/item-image/095651/16284775B122701B419391338137E4F6.jpg
冷しぶっかけひもかわ　群馬?産小?使用?,차가운 bukkake 건마 현에서 밀로 만든 국수,398円（??429.84円）,https://img-afd.7api-01.dp1.sej.co.jp/item-image/094643/F2842C96DD5349A0347B948DFEA2B231.jpg
ソ?スの旨み　?うどん,맛있는 소스 : 야키 우동,430円（??464.40円）,https://img-afd.7api-01.dp1.sej.co.jp/item-image/094855/7A5F90831668B2E9533D7477229DF36A.jpg
?木?産小?使用?　宇都宮?そば,Utsunomiya Yakisoba Tochigi 현에서 밀로 만든 국수,550円（??594円）,https://img-afd.7api-01.dp1.sej.co.jp/item-image/095660/3D5A03E6E23E9A4E059E8878EA1B1666.jpg
冷製パスタ　トマトと生ハムとチ?ズ,"차가운 파스타, 토마토, 프로 시우토 및 치즈",550円（??594円）,https://img-afd.7api-01.dp1.sej.co.jp/item-image/095663/9D1E2B670F6BC5C208351F285C098CB7.jpg
トマト約３個分のリコピン　トマトグラタン,약 3 개의 토마토를위한 리코펜 토마토 그라틴,460円（??496.80円）,https://img-afd.7api-01.dp1.sej.co.jp/item-image/095647/84183A70189DA029D3904BD7F2660F98.jpg
香ばし肉野菜＆ビ?フン炒め,향기로운 고기와 야채와 볶은 쌀 국수,358円（??386.64円）,https://img-afd.7api-01.dp1.sej.co.jp/item-image/105123/A5DF4943C14BB93C38E72A6B5770AA16.jpg
１食分の野菜　水餃子ス?プ,야채 1 서빙 : 수프 만두 수프,328円（??354.24円）,https://img-afd.7api-01.dp1.sej.co.jp/item-image/107354/247A5D4116BEB4ABE7C5408B0853B68A.jpg
７プレミアム　銀?の??,7 프리미엄 소금 구운은 연어,368円（??397.44円）,https://img-afd.7api-01.dp1.sej.co.jp/item-image/107406/AEE1B9AEE1AE30CF2220614D6D0DE171.jpg
７Ｐ　北海道牛乳のミルクオムレット　３個入,7p Hokkaido Milk Omelette 3 조각,138円（??149.04円）,https://img-afd.7api-01.dp1.sej.co.jp/item-image/290269/1FCDD85824EAED4CF1E4FF9FC61A380A.jpg
７Ｐ　もちもちとした　ベ?コンチ?ズパン２個,7p -2 질긴 베이컨 치즈 빵,158円（??170.64円）,https://img-afd.7api-01.dp1.sej.co.jp/item-image/290089/6CE9DA04C1147AD0350577318A58719B.jpg
７プレミアム　焦がしバタ?入りカスタ?ドのクリ?ムパン,7 프리미엄 커스터드 크림 빵을 태운 버터,128円（??138.24円）,https://img-afd.7api-01.dp1.sej.co.jp/item-image/300752/4422A63A9C417214E979346E1B3D2B39.jpg
サクサクパイ　抹茶ラテ,바삭한 파이 말차 라떼,198円（??213.84円）,https://img-afd.7api-01.dp1.sej.co.jp/item-image/300625/24528CFB6207A7B77EB8D12345ACCFE8.jpg
抹茶みるくのホイップド?ナツ,말차 우유에서 휘핑 도넛,188円（??203.04円）,https://img-afd.7api-01.dp1.sej.co.jp/item-image/300773/99A788C4E6536AB507E0EAA9C2DECC1D.jpg
マ?ス　ＢＥ－ＫＩＮＤプロテインキャラメル＆ナッツ,화성은 단백질 카라멜 & 너트,248円（??267.84円）,https://img-afd.7api-01.dp1.sej.co.jp/item-image/480199/26A05C823B3563F0ADFC834137545A90.jpg
ホイップで食べるコ?ヒ?わらび?,휘핑 커피 Warabi Mochi,278円（??300.24円）,https://img-afd.7api-01.dp1.sej.co.jp/item-image/110650/2C5736643DF70918EE85FF608E3D84EB.jpg
ロッテ　爽　きらめきのサイダ?フル?ツポンチ,롯데 상쾌한 사이다 과일 펀치,200円（??216円）,https://img-afd.7api-01.dp1.sej.co.jp/item-image/450285/00CAD120AD9E200D4D5A8C9841DDE0A8.jpg
ロッテ　バキバキ　　　クランキ?アイスバ?,롯데 베이커리 크랭크 아이스 바,170円（??183.60円）,https://img-afd.7api-01.dp1.sej.co.jp/item-image/450240/1EF413D81BE2D682FA4160591867F119.jpg
森永製菓　しましまうまうまぷりんぷりんバ?,Morinaga Confectionery Shimauma Uma Pudding Bar,150円（??162円）,https://img-afd.7api-01.dp1.sej.co.jp/item-image/450135/E3FCEC00D803A0120A9EBC56C3F8659F.jpg
ロッテ　ガ?ナチョコ　クッキ?サンド,롯데 가나 초콜릿 쿠키 샌드위치,170円（??183.60円）,https://img-afd.7api-01.dp1.sej.co.jp/item-image/450457/63575372A8E3B08CA97A405278323BFC.jpg
７プレミアム銀座千疋屋　まるでクラウンメロン,7 프리미엄 Ginza Seibikiya와 같은 Crown Melon,298円（??321.84円）,https://img-afd.7api-01.dp1.sej.co.jp/item-image/450115/41B1A77180C9F5F7BF84BA8498634D5F.jpg
ハ?ゲンダッツ　クリスピ?サンド　抹茶ベリ?,Haagen-Dazs Crispy Sand Matcha Berry,325円（??351円）,https://img-afd.7api-01.dp1.sej.co.jp/item-image/450604/9C5E0FCBA810DEA1774132D5F8927930.jpg
チョコレ?トバンクワッフルコ?ンビタ?＆ホワイトチョコレ?ト,초콜릿 뱅크 와플 옥수수 쓴맛 및 화이트 초콜릿,398円（??429.84円）,https://img-afd.7api-01.dp1.sej.co.jp/item-image/450589/2CBEECDD34DCA8FB986F44A002AD1EB2.jpg
７プレミアム　カフェラテ　レギュラ?　３００ｍｌ,7 프리미엄 카페 라떼 일반 300ml,210円（??226.80円）,https://img-afd.7api-01.dp1.sej.co.jp/item-image/210744/2A4082CB1D55D1AC38A578EE38CF48B5.jpg
７プレミアム　カフェラテ　砂糖不使用　２４０ｍｌ,"7 프리미엄 카페 라떼, 무설탕, 240ml",178円（??192.24円）,https://img-afd.7api-01.dp1.sej.co.jp/item-image/210738/6D8A9A3564A1D8CEC7580852D99AD6E4.jpg
７プレミアム　カフェラテ　砂糖不使用　３００ｍｌ,"7 프리미엄 카페 라떼, 무설탕, 300ml",210円（??226.80円）,https://img-afd.7api-01.dp1.sej.co.jp/item-image/210729/149DC076325877E5222350F9175DC4F2.jpg
７プレミアム　カフェラテ　レギュラ?　２４０ｍｌ,7 프리미엄 카페 라떼 일반 240ml,178円（??192.24円）,https://img-afd.7api-01.dp1.sej.co.jp/item-image/210703/9CC0BA7603BCCB212A0128326FB073D5.jpg
７プレミアム　バニララテ　２４０ｍｌ,7 프리미엄 바닐라 라떼 240ml,168円（??181.44円）,https://img-afd.7api-01.dp1.sej.co.jp/item-image/210708/8A06EAA805910682E3D699603C5CD972.jpg
７プレミアム　バニララテ　２４０ｍｌ,7 프리미엄 바닐라 라떼 240ml,168円（??181.44円）,https://img-afd.7api-01.dp1.sej.co.jp/item-image/210044/18C4309FBBDEAA93E831894489244111.jpg
７プレミアム　冷し中華?油２食入,7 프리미엄 - 차가운 중국 간장 2 식사,198円（??213.84円）,https://img-afd.7api-01.dp1.sej.co.jp/item-image/250159/B159A8D7B210C67213619D19F161182B.jpg
