restaurant_name,translated_restaurant_name,url,tel,genre,business_hours,closed_days,budget,credit_card,qr_code_payment,address,entrance,parking,seats,counter_seats,smoking,private_room,private,store_website,cooking_specialties,drinking_specialties,reservation,usage_scenes,child_friendly,wifi_available,phone_number,video,ic_card_payment,instagram,remarks,lecture,available_drinks,waiting,service,dress_code,pet_friendly,power_supply_available,additional_equipment,twitter,foreign_language_support,facebook,beer_maker,인근 시설
居酒屋 ひもの野郎 東京駅ヤエチカ 八重洲地下街,Izakaya Himonobaru 도쿄 역 Yaechika Yaesu Underground Mall,https://retty.me/area/PRE13/ARE15/SUB1501/100001645755/,050-5262-9487,이자카야는 해산물과 해산물 요리 일본 음식을 설정합니다,"[월요일부터 금요일까지]
 11:00-23:00 L.O. 22:30
[태양, 토요일, 휴일]
 11:00-22:30 L.O. 22:00
새해 첫날에 문을 닫습니다. 우리는 일요일과 공휴일에 문을 엽니 다.",매년 1 월 1 일,"점심 : ~ 1,000 엔
저녁 식사 : ~ 4,000 엔","비자
마스터 카드",PayPay,"Yaesu Underground Mall 2-1 Yaesu Chuo-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / 도쿄 역에서 도보 2 분 (130m)
도쿄 메트로 진 자 라인 / 키오바시 (도쿄) 역에서 도보로 4 분 거리 (310m)
도쿄 메트로 긴자 라인 / 니혼 바시 (도쿄) 역에서 도보로 5 분 거리 (400m)",없음,"44 석
((38 테이블 좌석))","예
((카운터에서 6 석)))))","불가능합니다
(흡연은 상점을 가로 질러 소유합니다)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보","예
두 사람을 위해
4 명
6 명
7 명 이상",예,"[공식적인]
https://himonoyarou-yaesu.foodre.jp/
https://himonoyaro.com/",생선 요리 전문,"맥주, 사케, 쇼치",사용 가능한 예약,"소녀의 야간 음주, 어린이 점심, 솔로, 저녁 식사, 저녁, 음료수, 애프터 파티, 애프터 링크, 개인 객실, 데이트, 그룹 데이트, 지불금 지불, 성인 연말 파티, 신속한 연도 파티, 새해 파티
다른 사용 장면을 참조하십시오",예,예,090-1771-9657,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100001645755/archive/2991135-63fec9351f854.jpg,,,,,,,,,,,,,,,,
大衆食堂フクロウ,인기있는 식당의 올빼미,https://retty.me/area/PRE13/ARE15/SUB1501/100000856574/,050-5462-2999,이자카야는 식사 세트,"[월요일부터 금요일까지]
점심 11:30-14:30 L.O. 14:00
저녁 식사 17:30-22:00 L.O. 21:30","매주 토요일마다 일요일 휴가
우리는 새해 공휴일, Golden Week 및 Obon Holidays 기간 동안 휴가 기간이 있습니다.
자세한 내용은 소셜 미디어를 확인하십시오.","점심 : ~ 1,000 엔
저녁 식사 : ~ 5,000 엔","비자
마스터 카드
Amex
식당
JCB",PayPay,"Kyobashi Om Building 1f, 1-19-8 Kyobashi, Chuo-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
Toei Asakusa Line / Takaramachi (도쿄) 역에서 도보로 3 분 거리 (190m)
도쿄 메트로 긴자 라인 / 키오바시 (도쿄) 역에서 도보로 6 분 거리 (410m)
도쿄 메트로 히비야 라인 / 도쿄 (도쿄) 역에서 도보 6 분 (430m)",없음,64 석,없음,"연기 분리
(외부 외부 흡연 및 흡연 구역 없음)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,"예
임대 할 수있는 제한된 수의 사람들 (좌석) : 72 명
예약 할 수있는 제한된 수의 사람들 (스탠드 식사) 100 명","[공식적인]
https://kyobashi-fukuro.foodre.jp/","우리는 야채 요리, 고기 요리, 생선 요리, 매장 내에서 준비된 것입니다.","맥주, 사케, 쇼치, 와인, 위스키, 칵테일",사용 가능한 예약,"점심, 소녀의 밤, 아이들과의 재미, 독신자, 저녁 식사, 데이트, 결혼식, 파티, 그룹 데이트, 환영 파티, 비영리, 점심 날짜, 점심 소녀 밤, 급여 지불 지불, 새해 파티, 성인 연말 파티, All-You-you-can-drink
다른 사용 장면을 참조하십시오",예,없음,03-6228-6696,https://ximg.retty.me/crop/s388x388/q80/q80/das/das/-/retty/img_ebisu/restaurant/100000856574/archive/302610-642d1eb299a73.png,"Suica, Manaca, Toica, Pitapa, Icoca, Hayakaken, Nimoca, Sugoca, Nanaco, Rakuten Edy, Waon, Quicpay",https://www.instagram.com/kyobashi_fukuro/,"QR 코드 결제
 Rakuten Pay, AU Pay, Merpay (D Pay)

i c
Pasmo ID","4,000 엔 ~ 4,999 엔 코스, 5,000 ~ 5,999 엔 코스, 6,000 ~ 6,999 엔 코스로 제공됩니다.","4,000 엔에서 4,999 엔으로 인한 싱글 링크와 5,000 엔 이상을위한 모든 싱크 링크, 2 시간 동안 전세계 점점을 포함하는 코스가 포함되어있는 코스가 있습니다.","개방성이 있습니다
천장이 높습니다
조용한 가게
차분한 분위기
숨는 곳",테이크 아웃 가능성,없음,"불가능합니다
상점 밖에서 이용 가능하면 물이 제공 될 수 있습니다",불가능합니다,프로젝터 포함,,,,,
シュラスコ&ビアレストラン ALEGRIA kyobashi -アレグリア京橋-,Churrasco & Beer Restaurant Alegria Kyobashi -Alegria Kyobashi-,https://retty.me/area/PRE13/ARE15/SUB1501/100001591727/,050-5304-0451,Izakaya Churasco Yakiniku,"[하루 종일]
점심 11:00-14:30 L.O. 14:00
저녁 식사 17:00-22:30 L.O. 22:00
*우리는 감염을 예방하기 위해 취한 조치에 따라 사업에 개방 될 것입니다.

일요일에 열립니다

닫힌 날
새해 휴일/차단 된 건물 등","하루 종일 개점
시설과 동일합니다
12 월 31 일부터 1 월 3 일까지의 새해 공휴일","점심 : ~ 2,000 엔
저녁 식사 : ~ 4,000 엔","비자
마스터 카드
Amex
식당
JCB",PayPay,"Kyobashi Edgran B1F, 2-2-1 Kyobashi, Chuo-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 긴자 라인 / 교오바시 (도쿄) 역 (120m)에서 도보 2 분
JR Yamanote Line / 도쿄 역에서 도보 4 분 (290m)
Toei Asakusa Line / Takaramachi (도쿄) 역에서 도보로 4 분 거리 (320m)","없음
특별 P 사용 가능","78 석
(여러 테이블 좌석과 소파 시트가 있습니다. 개인 공간에서 Churrasco를 즐길 수있는 개인 실이 있습니다.)",없음,"불가능합니다
흡연실 사용 가능
(Kyobashi Edgran의 흡연 구역을 사용하십시오.)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보","예
4 명
6 명
7 명 이상","예
예약 할 수있는 사람의 수에 대한 최저 한도 (앉음) : 40 명
임대 가능 (좌석) : 80 명
예약 할 수있는 사람의 수에 대한 최저 한도 (독점 식사) 40 명
예약 할 수있는 제한된 수 (스탠딩 식사) 90 명","https://alegria-web.com/
https://alegria-kyobashi.owst.jp/","우리는 야채 요리, 고기 요리, 수입 재료 및 재료를 생산하며 알레르기가있는 고객에게 수용 할 수 있으며 어린이 메뉴에 사용할 수 있습니다.","맥주, 와인, 위스키, 칵테일",사용 가능한 예약,"모든 당신이 먹는 엔터테인먼트의 작별 파티 파티 생일 개인 방 점심 연회/음료 파티 고기 고기 점심 음주 점심 음주 점심 음료 파티 파티 파티 파티 파티 엔터테인먼트 지불금 지불 이용 가능한 저녁 식사 all-you-can-eat all-you-can-drink 요리를위한 빠른 새해 파티 요리를위한 빠른 연말 파티 요리.
다른 사용 장면을 참조하십시오","예
아이들을 환영하고, 미취학 아동이 환영 받고, 초등학생은 환영 받고, 어린이 메뉴, 알레르기 음식을 이용할 수 있습니다.",예,03-6262-5236,https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100001591727/archive/3524046-67b2c04deb197.png,"Suica, Nanaco, Rakuten Edy, Waon, Quicpay, Au 지갑",,,"3,000 엔 ~ 3,999 엔 코스, 4,000 엔에서 4,999 엔 코스, 5,000 ~ 5,999 엔 코스로 구입할 수 있습니다.","999 엔 미만의 싱글 링크 가격, 1000 ~ 1999 엔, 1.5 시간 동안 온 올스크 링크, 2 시간 동안 완전히 링크 된 모든 링크, 2.5 시간 동안 완전히 링크 한 링크, 3 시간 이상은 3 시간 이상 링크","개방성이 있습니다
천장이 높습니다
조용한 가게
차분한 분위기
상업용 시설에 위치합니다","놀라운 응답 가능
축하 가능성
테이크 아웃 가능성",평상복,,,,https://x.com/alegriakyobashi,"영어 중국어
직원과 함께 언어 지원 메뉴가 있습니다",,,
全席個室 鮮や一夜 八重洲店,"모든 좌석 개인 실, Shinya One Night Yaesu 매장",https://retty.me/area/PRE13/ARE15/SUB1501/100000927625/,050-5303-6128,이자카야 사샤 시미 해산물과 해산물,"[월요일부터 금요일까지]
 17:00-23:30 L.O. 22:30
*마지막 음료 주문은 마감 시간 30 분 전입니다.
*업무 시간 이전에도 연회를 이용할 수 있습니다!
*공식 웹 사이트에는 이해하기 쉽고 큰 거래가 포장되어 있습니다! 아래의 ""홈페이지""를 방문하십시오",매주 일요일과 공휴일,"점심:-
저녁 식사 : ~ 4,000 엔",예,,"Masya Building 6f, 3-2-16 Nihonbashi, Chuo-Ku, 도쿄 리셉션 6f
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 긴자 라인 / Nihonbashi (도쿄) 역에서 도보로 4 분 거리 (320m)
도쿄 메트로 긴자 라인 / 키오바시 (도쿄) 역에서 도보로 6 분 거리 (430m)
JR Yamanote Line / 도쿄 역에서 도보로 8 분 (570m)",없음,126 석,,"불가능합니다
흡연은 전체적으로 허용됩니다 (가열 담배 만 해당)
(좌석 외에도 상점 안에는 흡연 공간이 있습니다.)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보","예
두 사람을 위해
4 명
6 명
7 명 이상",,https://senyaichiya.dkdining.com/yaesu/,생선 요리 전문,"맥주, 사케, 쇼치",,"개인 객실 연회 및 음주 파티, 마실 저녁 식사, 저녁 식사, 연말 파티, 새해 파티, 새해 파티, 흡연 허용, 개인 객실 날짜, 쿠폰 제공 온라인 예약 가능, 환영 파티, 작별 파티, 캐주얼, 인기있는 예약
다른 사용 장면을 참조하십시오",,없음,050-2018-8850,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100000927625/archive/3349294-5b581153249af.png,,,"PayPay/dpay/aupay/line pay/rakutenpay/merpay/alipay/wechat pay/id
좌석 수수료가 있습니다. (코스 당시 가격에 포함)","4,000 엔에서 4,999 엔으로 구입할 수 있습니다","전산 된 가격 : 2,000-2,999 엔, 2 시간의 싱글 링크","조용한 가게
차분한 분위기","놀라운 응답 가능
축하 가능성",,,,,,,,,
炭火居酒屋×完全個室 豊年満作 東京八重洲店,숯 이자카야 x 완전히 개인 실 TOYONEN MITSUSAKU 도쿄 야 에스 지점,https://retty.me/area/PRE13/ARE15/SUB1501/100001450669/,050-5461-6035,Izakaya Yakitori Motsunabe Kappo/작은 레스토랑 일본 음식,"[월요일 ~ 목요일]
점심 11:30-15:00 L.O. 14:30
[하루 종일]
저녁 식사 16:00-23:00 L.O. 22:30
사람들의 수에 따라, 우리는 [점심 연회], [아침까지 파티를 마시기] 및 [개인 연회]도 받아들입니다! 사람의 수, 예산 등에 관한 질문이 있으시면, 우리는 당신을위한 완벽한 공간을 안내하겠습니다.
*상황에 따라 가까운 시간이 일찍있을 수 있습니다. 확인을 위해 전화하십시오.",,"점심 : ~ 1,000 엔
저녁 식사 : ~ 5,000 엔","비자
마스터 카드",PayPay,"1F, 1-5-1 Kyobashi, Chuo-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 긴자 라인 / 교오바시 (도쿄) 역 (160m)에서 도보 2 분
JR Yamanote Line / 도쿄 역에서 도보 3 분 (230m)
Toei Asakusa Line / Takaramachi (도쿄) 역 5 분 도보 (370m)","없음
근처 (할인 없음) 사용 가능","200 석
(라운드 테이블 포함)",,"예
(일부 금연 좌석은 이용 가능/금연 좌석 : 20 석)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보","예
두 사람을 위해
4 명
6 명
7 명 이상","예
예약 할 수있는 사람의 수에 대한 최저 한도 2 명
예약 할 수있는 제한된 수의 사람들 : 60 명
예약 할 수있는 사람의 수에 대한 최저 한도 (스탠드 스탠드 식사) 2 명
예약 할 수있는 제한된 수 (스탠드 스탠딩 식사) : 70 명",https://akr1731110019.owst.jp/,우리는 야채 요리와 고기 요리에 대해 특별합니다,"술, 쇼카, 와인, 위스키, 칵테일",사용 가능한 예약,"저녁 식사, 쌀, 개인 실, 연말 파티, 점심, 점심, 전산, 연회 및 음주 파티, 엔터테인먼트, 애프터 파티, 점심, 점심 마시기, 개인 실, 흡연 허용, 생일, 지불금 지불, 온라인 예약, 새해 파티
다른 사용 장면을 참조하십시오","불가능합니다
유아, 유치원 어린이, 초등학생을 환영합니다",예,03-4570-6736,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100001450669/archive/2074005-5fab5633f11c6.jpg,,,"무료 식사 및 리필 제한 수량 점심 이용 점심 시간 서비스를 이용할 수있는 점심.

오후 11시 이후에 먹을 수있는 일요일에 문을 엽니 다","4,000 엔에서 4,999 엔 코스, 5,000 ~ 5,999 엔 코스, 6,000 ~ 6,999 엔 코스, 8,000 엔 이상의 코스가 있습니다.","ALL-YOU-CAN-DRINK 가격 : 1,000 엔 -1,999 엔, 2 시간의 모든 곡선","차분한 분위기
나이트 뷰를 볼 수 있습니다
숨는 곳","놀라운 응답 가능
축하 가능성",공식적인,,,TV 및 모니터 사용 가능,,"영어 중국어
언어를 말할 수있는 직원이 있습니다",,,
IRISH PUB CELTS 八重洲店,Irish Pub Celts Yaesu 매장,https://retty.me/area/PRE13/ARE15/SUB1501/100000008987/,050-5304-9860,바 스포츠 바 이자카야 맥주 바,"[월요일부터 금요일까지]
 14:00-29:00 L.O. 28:00
[토양]
 12:00-29:00 L.O. 28:00
[일요일과 휴일]
 12:00-23:00 L.O. 22:00
*마지막 음료 주문은 마감 시간 30 분 전입니다.
*업무 시간 이전에도 연회를 이용할 수 있습니다!
*공식 웹 사이트에는 이해하기 쉽고 큰 거래가 포장되어 있습니다! 아래의 ""홈페이지""를 방문하십시오",하루 종일 개점,"점심 : ~ 2,000 엔
저녁 식사 : ~ 2,000 엔","비자
마스터 카드
Amex
식당
JCB",,"1F Nihonbashi 3 Chome 건물, 3-2-17 Nihonbashi Chuo-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 긴자 라인 / Nihonbashi (도쿄) 역에서 도보로 3 분 거리 (200m)
JR Yamanote Line / 도쿄 역에서 도보 3 분 (210m)
도쿄 메트로 마루치 노선 / 오타 마치 (도쿄) 역에서 도보 5 분 (340m)",예,98 석,예,"연기 분리
흡연실 사용 가능
(좌석 외에도 상점 안에는 흡연 공간이 있습니다.)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,"[공식적인]
https://irishpubcelts-yaesu.foodre.jp/
https://celts.dkdining.com/yaesu/",,,,"저녁 식사, 늦은 밤에 문을 닫고, 사라지고, 사라지고, 첫 열차, 솔로, 흡연 허용, 쿠폰 이용 가능, 공예 맥주 마시기, 급여표 포인트, 온라인 예약 가능, 작별 파티, 환영 파티, 인기있는 식당까지 문을 엽니 다.
다른 사용 장면을 참조하십시오",,예,050-2018-8956,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100001353481/archive/1331476-5dede18600319.jpg,"Suica, Manaca, Toica, Icoca, Hayakaken, Nimoca, Sugoca",,dpay/aupay/line pay/rakuten pay/merpay/alipay/wechat pay/paypay/id,,,,,,,,,,,,,
鳥の吟次郎 東京駅前店,Tori No Ginjiro 도쿄 스테이션 매장,https://retty.me/area/PRE13/ARE15/SUB1501/100001745264/,050-5462-5809,이자카야 야키토리,"[하루 종일]
 11:00-24:00
(요리 L.O. 23:00 음료 L.O. 23:00)
예약은 11:00에서 16:00까지 수락됩니다.",불규칙한 휴일,"점심:-
저녁 식사 : ~ 5,000 엔","비자
마스터 카드",PayPay,"Yaesu Nakadori Building 3F, 1-4-10 Yaesu, Chuo-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 긴자 라인 / 니혼 바시 (도쿄) 역에서 도보로 2 분 거리 (89m)
도쿄 메트로 마루치 노선 / 오타 마치 (도쿄) 역에서 도보로 3 분 거리 (230m)
JR Yamanote Line / 도쿄 역에서 도보 4 분 (280m)",예,"80 석
((대형, 중간 및 소규모 개인 객실 이용 가능! 소규모 그룹을위한 정교한 성인 공간!))))))))))))))))",없음,"연기 분리
(흡연 분리는 완전히 개인 실에서 이용 가능합니다. 언제든지 문의하십시오.)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",예,,"[공식적인]
https://torinoginjiro-tokyo.foodre.jp/",,"맥주, 사케, 쇼치",,"점심, 저녁 식사, 쌀, 개인 실, 흡연 허용, 급여 지불 지불 허가, 온라인 예약 가능, 연말 파티, 새해 파티, 작별 파티, 환영 파티, 인기있는 식당 예약
다른 사용 장면을 참조하십시오",예,예,03-4520-4243,https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100001745264/archive/3331329-6662bff48d2a5.jpg,,,"QR 코드 지불 이용 가능 : PayPay, Line Pay, Alipay
가격 참고 : 금요일 : 코스 + 500 엔, à la carte + 500 엔, 청구 + 10%.",,"2,999 엔 미만의 싱글 링크, 3,000 ~ 3,999 엔을위한 싱글 링크, 4,000 ~ 4,999 엔을 포함하는 코스, 5,000 엔 또는 그 이상을 포함한 코스를 포함하는 코스, 그리고 2 시간 동안의 코스가 포함 된 코스가 포함 된 코스가 있습니다.",,,,,,,,,,,
豚バルBYO-塊-,돼지 바 BYO- 덩어리,https://retty.me/area/PRE13/ARE15/SUB1501/100000754109/,050-5304-7690,이자카야 와인 바 미트 바 식당,"[월요일부터 금요일까지]
점심 11:00-14:30 L.O. 14:00
[월요일부터 금요일과 토요일]
저녁 식사 17:00-23:00 L.O. 22:00
우리는 토요일에 점심 시간에 문을 닫습니다.
3 월과 4 월의 바쁜 계절로 인해 오후 6시, 오후 8시에 두 부분으로 구성된 시스템을 가질 수 있습니다.",매주 일요일과 공휴일,"점심 : ~ 1,000 엔
저녁 식사 : ~ 4,000 엔",예,,"1F, New Yaesu Building, 3-5-12 Nihonbashi, Chuo-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 긴자 라인 / 니혼 바시 (도쿄) 역에서 도보로 3 분 거리 (240m)
Toei Asakusa Line / Takaramachi (도쿄) 역에서 도보로 4 분 거리 (320m)
도쿄 메트로 진 자 라인 / 키오바시 (도쿄) 역에서 도보로 5 분 거리 (360m)",예,"44 석
(테라스의 6 석)",없음,"예
(흡연 가능)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,,,,,"점심, 와인, 흡연, 저녁 식사, 저녁 식사, 연회 및 음주 파티, 작별 파티, 환영 파티, 엔터테인먼트, 쿠폰, 애프터 파티, 온라인 예약, 연말 파티, 새해 파티, 인기있는 레스토랑, 캐주얼, 성인 새해, 새해 새해 파티
다른 사용 장면을 참조하십시오",,예,03-3231-0384,https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100000754109/archive/297913-59e59dc52e9c7.jpg,,,,,,,,,,,,,,https://www.facebook.com/butabarukatamaribyo/,,
全席個室 夢や京町しずく 八重洲店,모든 좌석 개인 객실 Yumeya Kyomachi Shizuku Yaesu 매장,https://retty.me/area/PRE13/ARE15/SUB1501/100000084154/,050-5303-6129,이자카야 해산물과 해산물 사시미,"[하루 종일]
저녁 식사 17:00-23:30 L.O. 22:30
*마지막 음료 주문은 마감 시간 30 분 전입니다.
*업무 시간 이전에도 연회를 이용할 수 있습니다!
*공식 웹 사이트에는 이해하기 쉽고 큰 거래가 포장되어 있습니다! 아래의 ""홈페이지""를 방문하십시오",*우리는 휴일에 열려 있습니다.,"점심 : 비즈니스 시간
저녁 식사 : ~ 4,000 엔",예,,"2F, Nihonbashi 3-2-17, Chuo-Ku, 도쿄, Nihonbashi 3-Chome 건물, 2F, 리셉션
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 긴자 라인 / Nihonbashi (도쿄) 역에서 도보로 3 분 거리 (200m)
JR Yamanote Line / 도쿄 역에서 도보 3 분 (210m)
도쿄 메트로 마루치 노선 / 오타 마치 (도쿄) 역에서 도보 5 분 (340m)",없음,103 석,,"연기 분리
흡연실 사용 가능
(좌석 외에도 상점 안에는 흡연 공간이 있습니다.)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",예,,https://kyomachi.dkdining.com/yaesu/,고기 요리 전문,"맥주, 술, 와인, 칵테일",,"개인 실
다른 사용 장면을 참조하십시오",,없음,050-2018-8853,https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100000084154/archive/809113-5b593268cd8ee.jpg,,,"dpay/aupay/line pay/rakuten pay/merpay/alipay/wechat pay/paypay/id
좌석 수수료가 있습니다. (코스 당시 가격에 포함)","4,000 엔에서 4,999 엔으로 구입할 수 있습니다","전산 된 가격 : 2,000-2,999 엔, 2 시간의 싱글 링크","조용한 가게
차분한 분위기","놀라운 응답 가능
축하 가능성",,,,,,,,,
個室居酒屋 武虎 八重洲本店,개인 실 IZAKAYA TAKETORA YAESU 메인 지점,https://retty.me/area/PRE13/ARE15/SUB1501/100001493866/,050-5461-6044,이자카야 야키토리 해산물과 해산물 일본 음식,"[하루 종일]
 12:00-23:00 L.O. 22:00",,"점심 : ~ 3,000 엔
저녁 식사 : ~ 4,000 엔",불가능합니다,PayPay,"Shohei Building 6f, 1-5-1 Kyobashi, Chuo-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 긴자 라인 / 교오바시 (도쿄) 역 (160m)에서 도보 2 분
JR Yamanote Line / 도쿄 역에서 도보 3 분 (230m)
Toei Asakusa Line / Takaramachi (도쿄) 역 5 분 도보 (370m)","예
근처 (할인 없음) 사용 가능",60 석,,"예
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보","예
7 명 이상",,,,,,"저녁 식사, 쌀, 엔터테인먼트, 음료수, 전산 된 링크, 연말 파티, 개인 실, 사후 파티, 점심 시간, 개인 실, 흡연, 생일, 지불금 지불 가능, 온라인 예약, 새해 파티, 인기있는 상점 예약
다른 사용 장면을 참조하십시오",예,예,03-4563-0021,https://ximg.retty.me/crop/s388x388/q80/q80/das/das/-/retty/img_ebisu/restaurant/100001493866/archive/1028647-5d369d72b27d8.jpg,,,,"2,999 엔, 3,000 ~ 3,999 엔 코스, 5,000 ~ 5,999 엔 코스, 6,000 ~ 6,999 엔 코스, 7,000 ~ 7,999 엔 코스, 8,000 엔 또는 더 많은 코스가 있습니다.","999 엔 미만의 모든 금액 가격, All-You-Can-Drink 가격 1000-1999 엔, All-You-Can-Drink Price 2000-2999 엔, 전 ALL-YOU-CAN-DRINK 3000-4999 엔, 2999999 YEN, ALL-YOU-CAN-DRINK PROPES의 ALL-YOU-CAN-DRINK 가격 5000 YEN 또는 ALL-YOU-CAN-DRINK 가격 3000-3999 엔, all-you-can-drink 코스에는 4000-4999 엔이 포함되며, 싱글 링크 코스에는 5000 엔 이상, 1 시간 반 동안 all-you-can-drink, 2 시간 반 동안 모두 당신이 온전한 링크, 2 시간 반 동안 모두 3 시간 동안, 3 시간 동안, 3 시간 반 마감, 3 시간 반 마감, 3 시간 반 마감 3 시간 반 동안 만약을 모두 마시십시오","조용한 가게
차분한 분위기
숨는 곳
상단에 있습니다","놀라운 응답 가능
축하 가능성",,,,,,영어 중국어,,,
