식당 이름,번역된 식당 이름,URL,텔,장르,영업 시간,닫힌 날,예산,신용 카드,QR 코드 결제,주소,입장,주차,좌석,카운터 좌석,개인 실,사적인,상점 웹 사이트,발언,강의,요리 기능과 전문 분야,마시는 기능과 세부 사항에 대한 관심,예약,사용 장면,대기,서비스,아이들이 들어 오세요,애완 동물,전원 공급 장치 사용,Wi-Fi 사용,전화 번호,외국어 지원,영상,IC 카드 지불,흡연,인스 타 그램,페이스 북,당신이 마실 수있는 모든 것,드레스 코드,X (트위터),추가 장비,온라인 예약,쇼핑 직무 정보,맥주 제작자,인근 시설
かにざんまい 新宿店,게 잔 마이 신주쿠 지점,https://retty.me/area/PRE13/ARE1/SUB112/100001759394/,050-5462-6883,게 요리 해산물과 해산물 이자카야 스시,"[하루 종일]
 11:00-23:30 L.O. 21:30
◆ 마지막 입장은 오후 9시 30 분입니다.
우리는 새로운 코로나 바이러스의 확산을 방지하고 안전을 고려하기 위해 철저한 조치를 취하고 있습니다. 마음의 평화와 함께 오세요.",하루 종일 개점,"점심 : ~ 2,000 엔
저녁 식사 : ~ 6,000 엔","비자
마스터 카드
Amex
식당
JCB",,"Yodobashi University Guard Building 2F-3F, 1-3-2 Nishi-Shinjuku, Shinjuku-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
Toei Oedo Line / Shinjuku West Exit Station에서 도보로 1 분 (74m)
JR Yamanote Line / Shinjuku Station에서 도보 2 분 (110m)
Seibu Shinjuku Line / Seibu Shinjuku Station에서 도보 3 분 (190m)",없음,70 석,없음,없음,불가능합니다,"[공식적인]
https://kanizannmai-shinjyuku.foodre.jp/","[좌석 소개]
최대 연회 수 : 24 명 (최대 32 명이 가능).
개인 실 : 최대 4 명 X 4/ ~ 6 명 X 2 (개인 실은 최대 16 명을위한 연회가 될 수 있음)
Horigotatsu : 4 명 x 4/6 인 x 2 (개인 객실은 최대 16 명까지 연회 할 수 있습니다)
Private : Private : 개인에게 연락하십시오!",,,,,"점심 모든 음식, 쌀, 솔로, 저녁 식사, 아이들과 함께 즐겁고, 모든 멍청한, 모든 멍청한, 모든 당신이 먹고, 온전한 파티, 점심 시간 음주, 인기있는 레스토랑, 개인 회의실, 온라인 예약 가능
다른 사용 장면을 참조하십시오",,,예,,,예,03-6279-4800,,https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100001759394/archive/3432562-671A0514DDD21.JPG,"Suica, Nanaco, Waon, Quicpay","불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",,,,,,,,,,
日本酒と浜焼き 海鮮個室居酒屋 丸安水産 新宿駅前店,일본 술과 하야키 해산,https://retty.me/area/PRE13/ARE1/SUB113/100001686938/,050-5462-5469,Izakaya Sashimi Shabu-Shabu Japanese Food,"[하루 종일]
 12:00-24:00 L.O. 23:30
우리의 제휴 매장은 1 층에서 오전 11 시부 터 개장하므로 사용하십시오.",,"점심 : ~ 4,000 엔
저녁 식사 : ~ 4,000 엔","비자
마스터 카드
Amex
식당
JCB",PayPay,"2F, Nagawa Shoji Building, 3-35-9 Shinjuku, Shinjuku-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Shinjuku Station에서 도보 2 분 (120m)
도쿄 메트로 마루치 노선 / 신주쿠 산체 홈 스테이션에서 도보로 2 분 (86m)
Toei Oedo Line / Shinjuku West Exit Station에서 도보로 3 분 거리 (220m)",예,"146 석
(146 석 (22 석은 개인 실에서 이용 가능).)",없음,"예
두 사람을 위해
4 명
6 명
7 명 이상",,"[공식적인]
https://maruyasusuisan.foodre.jp/",,,,,,"점심 시간, 소녀의 밤, 개인 객실, 엔터테인먼트, 저녁 식사, 흡연, 냉담, 환영 파티, 음료수, 솔로, 크리스마스 저녁 식사, 세련된 지불, 성인 연말 파티, 바삭 바삭한, 연말 파티, All-You-You-You-You-eat
다른 사용 장면을 참조하십시오",,,,,,예,03-6273-2188,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100001686938/archive/3299681-662df646064d9.jpg,,"예
완전히 흡연이 허용됩니다
(금연 좌석을 사용하는 경우 전화하십시오.)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",,,,,,,,,,
炭火焼鳥＆海鮮 居酒屋 味斗 新宿東口本店 IZAKAYA AJITO,숯 구이 야키토리 및 해산물 이자카야 아지토 카이 쿠 이스트 출구 메인 상점 이자카야 아지토,https://retty.me/area/PRE13/ARE1/SUB101/100001712704/,050-5462-3866,이자카야 치킨 요리,"[하루 종일]
 15:00-28:30 L.O. 28:00",하루 종일 개점,"점심 : ~ 3,000 엔
저녁 식사 : ~ 3,000 엔","비자
마스터 카드
Amex
식당
JCB",,"10th NK 건물 2F, 1-23-12 Kabukicho, Shinjuku-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
Seibu Shinjuku Line / Seibu Shinjuku Station에서 도보 4 분 (300m)
Toei Oedo Line / Shinjuku West Exit Station에서 도보로 6 분 (410m)
JR Yamanote Line / Shinjuku Station에서 도보로 6 분 (420m)","예
근처 (할인 없음) 사용 가능",80 석,예,예,불가능합니다,"[공식적인]
https://ajito.foodre.jp/","전자 돈을 사용할 수 있습니다
(운송 전자 돈 (Suica 등), Quicpay)
QR 코드 결제 가능
(AU 급여)","3,000 엔에서 3,999 엔으로 제공됩니다",,,,"저녁 식사, 쌀, 개인 실, 혼자서 흡연, 흡연, 그룹 데이트, 소녀의 밤 아웃, 냉담, 연회 및 음주 파티, 성인 은신처, 브런치, 아침, 연말 파티, 새해 파티, 온라인 예약 가능
다른 사용 장면을 참조하십시오",,,,,,없음,03-6380-2826,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100001712704/archive/3194183-6557285fb3e40.jpeg,"Suica, Quicpay","예
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",,,,,,,,,,
ちょいおでん 新宿本店,Choi Oden Shinjuku 메인 매장,https://retty.me/area/PRE13/ARE1/SUB106/100001747066/,050-5462-6460,Izakaya Oden 일본 음식,"[월요일부터 금요일, 토요일, 휴일 전]
 15:00-26:00 L.O. 25:15
[일요일과 휴일]
 15:00-23:00 L.O. 22:15
자세한 내용은 공식 FB를 확인하십시오.
[월요일, 화요일, 수요일, 목요일, 금요일, 토요일 및 공휴일 전날]
봐라. 요리 01:15 음료 01:30
[일요일과 공휴일]
봐라. 요리 22:15 음료 22:30","하루 종일 개점
새해 연말 연시
12 월 31 일 15 : 00-22 : 00 (요리 L.O. 21 : 15/음료 L.O. 21:30)
1 월 1 일에 문을 닫았습니다
1 월 2 일부터 정규 업무 시간","점심:-
저녁 식사 : ~ 3,000 엔","비자
마스터 카드
Amex
식당
JCB",,"Sanko Park Building 1f, 7-3-1 Nishi-Shinjuku, Shinjuku-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
Seibu Shinjuku Line / Seibu Shinjuku Station에서 도보 3 분 (180m)
Toei Oedo Line / Shinjuku West Exit Station에서 도보로 3 분 거리 (190m)
JR Yamanote Line / Shinjuku 역에서 도보로 5 분 (390m)","없음
근처 (할인 없음) 사용 가능",62 석,예,없음,"예
예약 할 수있는 사람의 수에 대한 최저 한도 (앉음) : 20 명
임대 할 수있는 제한된 수의 사람들 (좌석) : 50 명",https://choioden-shinjyuku.foodre.jp/,"전자 돈을 사용할 수 없습니다
QR 코드 결제는 불가능합니다","2,999 엔, 3,000 ~ 3,999 엔 코스, 6,000 ~ 6,999 엔 코스, 7,000 ~ 7,999 엔 코스 및 8,000 엔 이상의 코스가 있습니다.",우리는 생선 요리를 전문으로하고 매장 내에서 준비합니다,"술, 쇼치, 와인",사용 가능한 예약,"저녁 식사와 쌀은 솔로 손님을위한 저녁 식사 및 음주 파티를 환영 파티 애프터 파티 요리 연말 파티 all-you-can-drink 요리 새해 파티 인기있는 식당 캐주얼 온라인 예약 가능
다른 사용 장면을 참조하십시오",차분한 분위기,,,불가능합니다,불가능합니다,없음,03-5331-3341,,https://ximg.retty.me/crop/s388x388/q80/q80/das/das/-/retty/img_ebisu/restaurant/100001747066/archive/338966-66d178cd0bb1e.jpg,,"연기 분리
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",https://www.instagram.com/choioden_shinjukuhonten/,https://www.facebook.com/profile.php?id=61561158532203&locale=ja_jp,"2,999 엔 미만의 싱글 링크, 3,000 엔에서 3,999 엔까지의 싱글 링크, 5,000 엔 이상의 링크를 포함하는 코스, 2 시간 동안 온스 링크를 포함하는 코스가 포함 된 코스가 있습니다.",없음,https://x.com/choioden_s,,,,,
Seafood bar Ermitage 代々木店,해산물 바 Ermitage Yoyogi Store,https://retty.me/area/PRE13/ARE1/SUB102/100001169115/,050-5462-2634,이탈리아 요리 이자카야,"[월요일부터 금요일까지, 휴일 전]
 11:30-23:00 L.O. 22:00
[태양, 토요일, 휴일]
 11:00-23:00 L.O. 22:00",불규칙한 휴일,"점심 : ~ 3,000 엔
저녁 식사 : ~ 6,000 엔","비자
마스터 카드
Amex
식당
JCB",PayPay,"1f, 1-45-3 요요기, 시부야-쿠, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
Odakyu Odawara Line / Minami Shinjuku Station에서 도보 2 분 (150m)
JR Yamanote Line / Yoyogi Station 5 분 도보 (360m)
JR Yamanote Line / Shinjuku Station에서 도보로 7 분 거리 (530m)",예,"42 석
(28 테이블 좌석)","예
(카운터에서 14 석)",없음,,"[공식적인]
https://seafoodbaremitage-yoyogi.foodre.jp/
https://kokoroodoru-inc.co.jp/brand/",,,,,,"연회/음주 파티 소녀의 파티 생일 저녁 식사 점심 점심 식사 와인 연말 파티 새해 파티 날짜가 아닌 점심 날짜 급여 지불 지불 이용 가능 크리스마스 환영 파티 런치 세련된 성인 날짜 성인 새해 파티
다른 사용 장면을 참조하십시오",,,,,,예,03-6276-2628,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100001169115/archive/3013787-641d2a693589c.jpg,"Suica, Manaca, Toica, Pitapa, Icoca, Hayakaken, Nimoca, Sugoca, Nanaco, Rakuten Edy, Waon, Quicpay, Au Wallet","불가능합니다
(상점의 흡연 구역)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",,,,,,,,,,
BAR新宿ウイスキーサロン,바 신주쿠 위스키 살롱,https://retty.me/area/PRE13/ARE1/SUB104/100001484364/,050-5461-0958,술집,"[하루 종일]
 18:00-26:00 L.O. 25:30
두 매장 모두 오후 6시에 문을 엽니 다
● Bar Livet은 월요일에만 문을 닫았습니다
[우리는 자매 상점 신주쿠 위스키 살롱에서 기다리고 있습니다 (도보 50 초)]
● 여기에는 2 개의 막대가 있으며 Bar Livet이 있습니다. 50 초 안에 있습니다.
두 상점 모두 오후 6 시부 터 개장합니다.
월요일에는 바 리벳 만 문을 닫습니다.
우리는 자매 상점에서 당신을 기다리고 있습니다.","하루 종일 개점
새해 휴일 (확인하십시오)
● 매일 열립니다
● 매일 열립니다
● 1 월 1 일, 1 월 2 일 및 2023 년 1 월 3 일에만 문을 닫았습니다.
(1 월 1 일, 1 월 2 일 및 2023 년 1 월 3 일에 만 마감","점심:-
저녁 식사 : ~ 6,000 엔","비자
마스터 카드
Amex
식당
JCB",PayPay,"3f Sato Building, 3-12-1 신주쿠, 신주쿠, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 마루치 노선 / 신주쿠 산체 홈 스테이션에서 도보로 1 분 (75m)
JR Yamanote Line / Shinjuku 역에서 도보로 6 분 (430m)
Toei Oedo Line / Shinjuku West Exit Station에서 도보 6 분 (440m)","없음
근처 (할인 없음) 사용 가능","40 석
(스탠딩 좌석 이용 가능)",예,없음,,"[공식적인]
https://shinjuku-whiskysalon.foodre.jp/
https://www.royalmile.tokyo/
https://maps.app.goo.gl/brqajnqqgonancqj6?g_st=com.google.maps.preview.copy","게스트 바텐더 이용 가능.
그는 현재 Benenciador에서 일하고 있습니다.
● PayPay
● 실버 머니
영어.
언어 지원 직원, 언어 지원 메뉴.",,,"맥주, 와인, 위스키, 칵테일",사용 가능한 예약,"싱글 OK 날짜 밤 늦게 영업 지불 지불 가능 온라인 예약 이용 가능 인기 상점 예약 크리스마스 2024 세련된 Merikuri 작별 파티 환영 파티
다른 사용 장면을 참조하십시오","조용한 가게
차분한 분위기
숨는 곳","휴대품 룸이 있습니다
소믈리에가 있습니다",불가능합니다,불가능합니다,예 (무료),예,03-3353-5888,"영어 중국어 한국
직원과 함께 언어 지원 메뉴가 있습니다",https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100001484364/archive/966853-5d02046d6c9.png,,"([흡연] 허용되지 않음 (입구에서 재떨이를 사용하십시오).)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",https://www.instagram.com/barman_shizu,,,평상복,https://x.com/whisktail,,,,,
タカマル鮮魚店 4号店,Takamaru Fresh Fish Shop No. 4,https://retty.me/area/PRE13/ARE1/SUB101/100001215899/,03-5937-4650,해산물과 해산물 요리 해산물 그릇 Izakaya,"[하루 종일]
 11:00-23:00 L.O. 22:00",하루 종일 개점,"점심 : ~ 2,000 엔
저녁 식사 : ~ 5,000 엔","비자
마스터 카드
Amex
식당
JCB",,"1f GS Plaza, 7-7-24 Nishi-Shinjuku, Shinjuku-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
Jr Chuo / Sobu Line / Okubo (도쿄) 역에서 도보로 4 분 거리 (260m)
Seibu Shinjuku Line / Seibu Shinjuku Station에서 도보 4 분 (310m)
Toei Oedo Line / Shinjuku West Exit Station에서 도보 6 분 (430m)",없음,80 석,없음,없음,불가능합니다,"[공식적인]
https://takamarusengyoten-yongouten.foodre.jp/
https://www.takamaru-inc.com/",,,생선 요리 전문,"맥주, 쇼카, 와인, 칵테일",사용 가능한 예약,"점심 All-You-Can-Drink 약혼 저녁 식사 싱글 OK Entertainment Christmas Dinner Sake Children Stylish Dinning Rice Non-Smoking Stylish Lunch Get PayPay Points
다른 사용 장면을 참조하십시오",활발한 상점,,예,,,없음,,언어 지원 메뉴가 있습니다,https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100001215899/archive/3445680-672d664b2406d.jpg,,"불가능합니다
(흡연은 하루 종일 금지됩니다. 상점에는 흡연 섹션이 있습니다.)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",,,,,,,,,,
無制限飲み放題 和食個室居酒屋 酔ってき屋 新宿駅前店,"무제한이 당신은 일본인 개인이자 카야, Drunkitaya Shinjuku Station 지점",https://retty.me/area/PRE13/ARE1/SUB101/100001615453/,050-5462-5470,Yakitori Izakaya Oyster Bar Seafood 및 Seafood Sashimi,"[선, 월요일부터 목요일, 휴일]
 12:00-24:00 L.O. 23:30
[월요일부터 금요일까지, 휴일 전]
점심 11:00-14:30 L.O. 14:00
[금요일, 토요일, 휴일 전]
 12:00-26:00 L.O. 25:30
점심은 평일 뷔페 스타일로 열려 있습니다. (850 엔) 점심 뷔페는 오전 11 시부 터 오후 2시 30 분까지 열립니다. 우리는 또한 점심 연회 및 음주 파티에 대한 예약을 수락하고 있습니다. 점심 뷔페 예약은 불가능합니다.",하루 종일 개점,"점심:-
저녁 식사 : ~ 4,000 엔","비자
마스터 카드
Amex
식당",PayPay,"1F Nagawa Shoji Building, 3-35-9 Shinjuku, Shinjuku-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Shinjuku Station에서 도보 2 분 (110m)
도쿄 메트로 마루치 노선 / 신주쿠 산체 홈 스테이션에서 도보로 2 분 (83m)
Toei Oedo Line / Shinjuku West Exit Station에서 도보로 3 분 거리 (220m)",없음,"140 석
(이것은 이스트 출구 지역에서 가장 개인 실입니다!)",없음,"예
두 사람을 위해
4 명
6 명
7 명 이상","예
예약 할 수있는 사람의 수에 대한 최저 한도 (앉아 있음) 55 명
임대 가능 (좌석) : 180 명","[공식적인]
https://yottekiya-shinjyuku.foodre.jp/",,"3,000-3,999 엔 코스, 4,000-4,999 엔 코스, 5,000-5,999 엔 코스, 6,000-6,999 엔 코스, 7,000-7,999 엔 코스, 8,000 엔 또는 더 많은 코스가 있습니다.",우리는 생선 요리에 대해 특히 그렇습니다. 생산 구역에 특히 그렇습니다.,"맥주, 사케, 쇼치, 와인, 위스키, 칵테일",사용 가능한 예약,"개인 객실, 점심, 점심, 엔터테인먼트, 흡연, 저녁 식사, 모든 새해 파티, 약혼식 저녁 식사, 솔로, 크리스마스 저녁 식사, 세련된, 개인 실 점심, 전적으로 캔 먹고, 멍청한, 세련된 점심
다른 사용 장면을 참조하십시오","개방성이 있습니다
천장이 높습니다
조용한 가게
활발한 상점
단독 주택 레스토랑
숨는 곳
골목을 향합니다","놀라운 응답 가능
축하 가능성
음료를 가져올 수 있습니다
소믈리에가 있습니다","예
유아와 초등학생을 환영합니다",불가능합니다,예 (무료),예,03-6273-2188,언어 지원 메뉴가 있습니다,https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100001615453/archive/328967-661e5087d96ab.jpg,,"예
완전히 흡연이 허용됩니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",,,"ALL-YOU-CAN-DRINK 가격 1,000-1,999 엔, 전 ALL-YOU-CAN-DRINK 가격 2,000-2,999 엔, ALL-YOU-CAN-DRINK 가격 3,000-4,999 엔, ALL-YOU-CAN-DRINK 가격 5,000 엔 또는 2,999 YEN, ALL-YOU-CAN-DRINK COORS는 All-You-Can-Drink 또는 All-You-Can-Drink, All-You-Can-Drink Course. all-you-can-drink 코스에는 4,000-4,999 엔이 포함되며, 싱글 링크 코스에는 2 시간 동안 5,000 엔 이상, 2 시간 반 동안 싱글 링크, 2 시간 반 동안, 3 시간 이상 만약이 포함되어 있습니다.",없음,,"프로젝터, TV 및 모니터 사용 가능",,,,
銘酒居酒屋 頑固おやじ,유명한 펍 이자카야가 완고한 노인,https://retty.me/area/PRE13/ARE1/SUB113/100000059793/,050-5303-8578,이자카야 사샤 시미 해산물과 해산물 일본 요리,"[tue-fri-sat]
저녁 식사 18:00-22:00 L.O. 21:00
팔리 자마자 끝납니다","매주 월요일마다 일요일 휴가
・ 재료가 떨어지면 끝납니다","점심 : 비즈니스 시간
저녁 식사 : ~ 10,000 엔","비자
마스터 카드
Amex
식당
JCB",PayPay,"신주쿠 토요 건물, 2-20-19 요요기, 시부야-쿠, 도쿄 B1F
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Shinjuku Station에서 도보 2 분 (110m)
Toei Oedo Line / Shinjuku West Exit Station에서 도보 2 분 (120m)
Odakyu Odawara Line / Minami Shinjuku Station에서 도보 5 분 (380m)",없음,30 석,예,없음,,,"우리 가게는 현금없는 포인트 상환 자격이 있습니다

예산 (일) : 업무 시간
예산 (야간) : ~ 7,000 엔","4,000 엔에서 4,999 엔 코스, 7,000 엔에서 7,999 엔 코스, 8,000 엔 이상의 코스가 있습니다.",,일본어를 사용할 수 있습니다,사용 가능한 예약,"연회 및 음주 파티 엔터테인먼트, 저녁 식사, 저녁 식사를 마시는 술을 마시기
다른 사용 장면을 참조하십시오",숨는 곳,,,,,없음,03-3320-2577,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100000059793/archive/1084471-5d66011a55160.jpg,,"불가능합니다
(모든 좌석은 금연합니다 (상점 밖에서 흡연 할 수 있습니다 / 렌탈이 가능))))))))))
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",,https://www.facebook.com/gankooyaji.tokyo,"5,000 엔 이상을 사용할 수 있습니다",,,,,,,
BOCA地中海食堂,보카 지중해 식당,https://retty.me/area/PRE13/ARE1/SUB112/100000005976/,050-5461-4345,이자카야 스페인 요리 바 미트 바 치킨 요리,"[월요일부터 금요일까지]
점심 11:00-16:00 L.O. 15:30
저녁 식사 16:00-24:00 L.O. 23:00
[태양, 토요일, 휴일]
점심 11:00-15:00 L.O. 14:30
저녁 식사 15:00-24:00 L.O. 23:00
팔리 자마자 끝납니다
영업 시간은 하루에 따라 다를 수 있습니다
마감 시간은 하루에 따라 다를 수 있습니다
자세한 내용은 상점에 직접 문의하십시오.","하루 종일 개점
가게가 닫히면 상점에 확인하십시오.
새해 휴일 (확인하십시오)
・ 새해 공휴일 제외 (12/31 ~ 1/4)","점심 : ~ 1,000 엔
저녁 식사 : ~ 3,000 엔","비자
마스터 카드
Amex
식당
JCB",PayPay,"Akihiro Building B1, 1-4-5 Nishi-Shinjuku, Shinjuku-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
Toei Oedo Line / Shinjuku West Exit Station에서 도보로 1 분 거리 (69m)
Seibu Shinjuku Line / Seibu Shinjuku Station에서 도보로 5 분 거리 (400m)
JR Yamanote Line / Shinjuku Station에서 도보로 6 분 (420m)","없음
근처 (할인 없음) 사용 가능",55 석,"예
(흡연은 카운터에서 허용됩니다)",없음,"예
예약 할 수있는 사람의 수에 대한 최저 한도 (앉음) : 50 명
예약 할 수있는 제한된 수의 사람들 : 60 명
예약 할 수있는 사람의 수에 대한 최저 한도 (독점 식사) 40 명
예약 할 수있는 제한된 수의 사람들 (스탠드 식사 식사) : 60 명","[공식적인]
https://boca.foodre.jp/
https://www.spocafe.jp/shop/12555",,"2,999 엔, 3,000 ~ 3,999 엔 코스, 4,000 ~ 4,999 엔 코스, 5,000 ~ 5,999 엔 코스가 있습니다.","우리는 고기 요리, 생선 요리, 수입 재료 및 재료를 생산하며 알레르기, 소유자 및 매장 준비를 통해 고객에게 수용 할 수 있습니다.","맥주, 쇼카, 와인, 위스키, 칵테일",저녁 식사 시간에만 사용할 수 있습니다,"소녀의 밤, 점심, 흡연 허용, 와인, 후 파티, 예약, 예약, 싱글, 새해 파티, 급여 지불 가능, 즐길 수 있으며, 공예 맥주를 즐길 수 있고, 즐길 수 있고, 사본, 새해 파티, 캐주얼, 캐주얼.
다른 사용 장면을 참조하십시오","개방성이 있습니다
활발한 상점
차분한 분위기
숨는 곳
골목을 향합니다","놀라운 응답 가능
음료를 가져올 수 있습니다
테이크 아웃 가능성","예
초등학생들은 환영합니다",,예 (무료),예,03-6302-3885,언어를 말할 수있는 직원이 있습니다,https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/10000005976/archive/609271-5be546808f27f.jpeg,,"연기 분리
(금연/흡연)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",https://www.instagram.com/spanishbarboca/,,"ALL-YOU-CAN-DRINK 가격 : 1,000-1,999 엔, 전 ALL-YOU-CAN-DRINK 가격 : 2,000-2,999 엔, 5,000 엔 이상, 2 시간 동안 all-you-can-drink가 포함됩니다.",평상복,,"TV/모니터, 오디오 장비, 놀이",,,,
